call_addr,token_offset,token_hex,token_display,token_second,y,x,internal_code,layer_b,layer_c,body_solid,foot_solid,unknown
67657,11808,01 41,\x01A,65,bp+0c,bp+0a,0x01F5,0x00,0x00,0,0,varb_-0x105
67706,11810,01 42,\x01B,66,bp+0c,bp+0a,0x01F6,0x00,0x00,1,0,varb_-0x105
67755,11812,01 43,\x01C,67,bp+0c,bp+0a,0x01F7,0x00,0x00,1,0,varb_-0x105
67804,11814,01 44,\x01D,68,bp+0c,bp+0a,0x01F8,0x00,0x00,1,0,varb_-0x105
67853,11816,01 45,\x01E,69,bp+0c,bp+0a,0x01F9,0x00,0x00,1,0,varb_-0x105
67902,11818,01 46,\x01F,70,bp+0c,bp+0a,0x01FA,0x00,0x00,1,0,varb_-0x105
67951,11820,01 47,\x01G,71,bp+0c,bp+0a,0x01FB,0x00,0x00,1,0,varb_-0x105
68000,11822,01 48,\x01H,72,bp+0c,bp+0a,0x681A,0x00,0x00,0,0,varb_-0x105
68049,11824,01 49,\x01I,73,bp+0c,bp+0a,0x681A,0x00,0x00,0,0,varb_-0x105
68098,11826,01 4a,\x01J,74,bp+0c,bp+0a,0x0295,0x00,0x00,0,0,varb_-0x105
68147,11828,01 4b,\x01K,75,bp+0c,bp+0a,0x681A,0x00,0x00,0,0,varb_-0x105
68196,11830,01 4c,\x01L,76,bp+0c,bp+0a,0x681A,0x00,0x00,0,0,varb_-0x105
68264,11832,01 4d,\x01M,77,bp+0c,bp+0a,?,0x00,0x0205,0,0,varb_-0x105
68301,11832,01 4d,\x01M,77,bp+0c,bp+0a,?,0x00,0x0201,0,0,varb_-0x105
68369,11834,01 4e,\x01N,78,bp+0c,bp+0a,?,0x00,0x0206,0,0,varb_-0x105
68406,11834,01 4e,\x01N,78,bp+0c,bp+0a,?,0x00,0x0202,0,0,varb_-0x105
68478,11836,01 4f,\x01O,79,bp+0c,bp+0a,?,0x00,0x0207,0,0,varb_-0x105
68515,11836,01 4f,\x01O,79,bp+0c,bp+0a,?,0x00,0x0203,0,0,varb_-0x105
68587,11838,01 50,\x01P,80,bp+0c,bp+0a,?,0x00,0x0208,0,0,varb_-0x105
68624,11838,01 50,\x01P,80,bp+0c,bp+0a,?,0x00,0x0204,0,0,varb_-0x105
68677,11840,01 51,\x01Q,81,bp+0c,bp+0a,0x0205,0x00,0x00,0,0,varb_-0x105
68726,11842,01 52,\x01R,82,bp+0c,bp+0a,0x0206,0x00,0x00,0,0,varb_-0x105
68775,11844,01 53,\x01S,83,bp+0c,bp+0a,0x0207,0x00,0x00,0,0,varb_-0x105
68824,11846,01 54,\x01T,84,bp+0c,bp+0a,0x0208,0x00,0x00,0,0,varb_-0x105
68873,11848,01 55,\x01U,85,bp+0c,bp+0a,0x0209,0x00,0x00,1,0,varb_-0x105
