call_addr,token_offset,token_hex,token_display,token_second,y,x,internal_code,layer_b,layer_c,body_solid,foot_solid,unknown
67801,11808,01 41,\x01A,65,bp+0c,bp+0a,0x01F5,0x00,0x00,0,0,bpb-105
67850,11810,01 42,\x01B,66,bp+0c,bp+0a,0x01F6,0x00,0x00,1,0,bpb-105
67899,11812,01 43,\x01C,67,bp+0c,bp+0a,0x01F7,0x00,0x00,1,0,bpb-105
67948,11814,01 44,\x01D,68,bp+0c,bp+0a,0x01F8,0x00,0x00,1,0,bpb-105
67997,11816,01 45,\x01E,69,bp+0c,bp+0a,0x01F9,0x00,0x00,1,0,bpb-105
68046,11818,01 46,\x01F,70,bp+0c,bp+0a,0x01FA,0x00,0x00,1,0,bpb-105
68095,11820,01 47,\x01G,71,bp+0c,bp+0a,0x01FB,0x00,0x00,1,0,bpb-105
68144,11822,01 48,\x01H,72,bp+0c,bp+0a,0x6840,0x00,0x00,0,0,bpb-105
68193,11824,01 49,\x01I,73,bp+0c,bp+0a,0x6840,0x00,0x00,0,0,bpb-105
68242,11826,01 4a,\x01J,74,bp+0c,bp+0a,0x0295,0x00,0x00,0,0,bpb-105
68291,11828,01 4b,\x01K,75,bp+0c,bp+0a,0x6840,0x00,0x00,0,0,bpb-105
68340,11830,01 4c,\x01L,76,bp+0c,bp+0a,0x6840,0x00,0x00,0,0,bpb-105
68408,11832,01 4d,\x01M,77,bp+0c,bp+0a,?,0x00,0x0205,0,0,bpb-105
68445,11832,01 4d,\x01M,77,bp+0c,bp+0a,?,0x00,0x0201,0,0,bpb-105
68513,11834,01 4e,\x01N,78,bp+0c,bp+0a,?,0x00,0x0206,0,0,bpb-105
68550,11834,01 4e,\x01N,78,bp+0c,bp+0a,?,0x00,0x0202,0,0,bpb-105
68622,11836,01 4f,\x01O,79,bp+0c,bp+0a,?,0x00,0x0207,0,0,bpb-105
68659,11836,01 4f,\x01O,79,bp+0c,bp+0a,?,0x00,0x0203,0,0,bpb-105
68731,11838,01 50,\x01P,80,bp+0c,bp+0a,?,0x00,0x0208,0,0,bpb-105
68768,11838,01 50,\x01P,80,bp+0c,bp+0a,?,0x00,0x0204,0,0,bpb-105
68821,11840,01 51,\x01Q,81,bp+0c,bp+0a,0x0205,0x00,0x00,0,0,bpb-105
68870,11842,01 52,\x01R,82,bp+0c,bp+0a,0x0206,0x00,0x00,0,0,bpb-105
68919,11844,01 53,\x01S,83,bp+0c,bp+0a,0x0207,0x00,0x00,0,0,bpb-105
68968,11846,01 54,\x01T,84,bp+0c,bp+0a,0x0208,0x00,0x00,0,0,bpb-105
69017,11848,01 55,\x01U,85,bp+0c,bp+0a,0x0209,0x00,0x00,1,0,bpb-105
69066,11850,01 56,\x01V,86,bp+0c,bp+0a,0x020A,0x00,0x00,0,0,bpb-105
69115,11852,01 57,\x01W,87,bp+0c,bp+0a,0x020B,0x00,0x00,0,0,bpb-105
69164,11854,01 58,\x01X,88,bp+0c,bp+0a,0x020C,0x00,0x00,0,0,bpb-105
69213,11856,01 30,\x010,48,bp+0c,bp+0a,0x020D,0x00,0x00,0,0,bpb-105
69262,11858,01 5a,\x01Z,90,bp+0c,bp+0a,0x020E,0x00,0x00,0,0,bpb-105
69311,11860,01 61,\x01a,97,bp+0c,bp+0a,0x020F,0x00,0x00,1,0,bpb-105
69360,11862,01 62,\x01b,98,bp+0c,bp+0a,0x0210,0x00,0x00,0,0,bpb-105
69409,11864,01 63,\x01c,99,bp+0c,bp+0a,0x0211,0x00,0x00,0,0,bpb-105
69458,11866,01 64,\x01d,100,bp+0c,bp+0a,0x0212,0x00,0x00,0,0,bpb-105
69507,11868,01 65,\x01e,101,bp+0c,bp+0a,0x0213,0x00,0x00,0,0,bpb-105
69556,11870,01 66,\x01f,102,bp+0c,bp+0a,0x0214,0x00,0x00,1,0,bpb-105
69605,11872,01 67,\x01g,103,bp+0c,bp+0a,0x0215,0x00,0x00,1,0,bpb-105
69654,11874,01 68,\x01h,104,bp+0c,bp+0a,0x0216,0x00,0x00,0,0,bpb-105
69703,11876,01 69,\x01i,105,bp+0c,bp+0a,0x0217,0x00,0x00,0,0,bpb-105
69752,11878,01 6a,\x01j,106,bp+0c,bp+0a,0x0218,0x00,0x00,0,0,bpb-105
69801,11880,01 6b,\x01k,107,bp+0c,bp+0a,0x0219,0x00,0x00,0,0,bpb-105
69857,11882,01 6c,\x01l,108,bp+0c,bp+0a,0x01FC,0x00,0x00,1,0,bpb-105
69890,11882,01 6c,\x01l,108,bp+0c,bp+0a,0x6840,0x00,0x00,0,0,bpb-105
69940,11884,01 6d,\x01m,109,bp+0c,bp+0a,0x6840,0x00,0x0299,0,0,bpb-105
69990,11886,01 6e,\x01n,110,bp+0c,bp+0a,0x6840,0x00,0x029A,0,0,bpb-105
70040,11888,01 6f,\x01o,111,bp+0c,bp+0a,0x6840,0x029F,0x00,0,1,bpb-105
70090,11890,01 70,\x01p,112,bp+0c,bp+0a,0x6840,0x02A0,0x00,0,1,bpb-105
70140,11892,01 71,\x01q,113,bp+0c,bp+0a,0x6840,0x02A1,0x00,0,1,bpb-105
70190,11894,01 72,\x01r,114,bp+0c,bp+0a,0x6840,0x02A2,0x00,0,1,bpb-105
70239,11896,01 73,\x01s,115,bp+0c,bp+0a,0x02AB,0x00,0x00,0,0,bpb-105
70289,11898,01 74,\x01t,116,bp+0c,bp+0a,0x6840,0x00,0x02AC,0,0,bpb-105
70339,11900,01 75,\x01u,117,bp+0c,bp+0a,0x6840,0x00,0x02AD,0,0,bpb-105
