token_offset,token_hex,token_display,internal_code,layer_b,layer_c,body_solid,foot_solid,target_x,target_y,call_addr
11808,01 41,\x01A,0x01F5,0x00,0x00,0,0,x,y,67657
11810,01 42,\x01B,0x01F6,0x00,0x00,1,0,x,y,67706
11812,01 43,\x01C,0x01F7,0x00,0x00,1,0,x,y,67755
11814,01 44,\x01D,0x01F8,0x00,0x00,1,0,x,y,67804
11816,01 45,\x01E,0x01F9,0x00,0x00,1,0,x,y,67853
11818,01 46,\x01F,0x01FA,0x00,0x00,1,0,x,y,67902
11820,01 47,\x01G,0x01FB,0x00,0x00,1,0,x,y,67951
11822,01 48,\x01H,word_681a,0x00,0x00,0,0,x,y,68000
11824,01 49,\x01I,word_681a,0x00,0x00,0,0,x,y,68049
11826,01 4a,\x01J,0x0295,0x00,0x00,0,0,x,y,68098
11828,01 4b,\x01K,word_681a,0x00,0x00,0,0,x,y,68147
11830,01 4c,\x01L,word_681a,0x00,0x00,0,0,x,y,68196
11832,01 4d,\x01M,?,0x00,0x0205,0,0,x,y,68264
11832,01 4d,\x01M,?,0x00,0x0201,0,0,x,y,68301
11834,01 4e,\x01N,?,0x00,0x0206,0,0,x,y,68369
11834,01 4e,\x01N,?,0x00,0x0202,0,0,x,y,68406
11836,01 4f,\x01O,?,0x00,0x0207,0,0,x,y,68478
11836,01 4f,\x01O,?,0x00,0x0203,0,0,x,y,68515
11838,01 50,\x01P,?,0x00,0x0208,0,0,x,y,68587
11838,01 50,\x01P,?,0x00,0x0204,0,0,x,y,68624
11840,01 51,\x01Q,0x0205,0x00,0x00,0,0,x,y,68677
11842,01 52,\x01R,0x0206,0x00,0x00,0,0,x,y,68726
11844,01 53,\x01S,0x0207,0x00,0x00,0,0,x,y,68775
11846,01 54,\x01T,0x0208,0x00,0x00,0,0,x,y,68824
11848,01 55,\x01U,0x0209,0x00,0x00,1,0,x,y,68873
11850,01 56,\x01V,0x020A,0x00,0x00,0,0,x,y,68922
11852,01 57,\x01W,0x020B,0x00,0x00,0,0,x,y,68971
11854,01 58,\x01X,0x020C,0x00,0x00,0,0,x,y,69020
11856,01 30,\x010,0x020D,0x00,0x00,0,0,x,y,69069
11858,01 5a,\x01Z,0x020E,0x00,0x00,0,0,x,y,69118
11860,01 61,\x01a,0x020F,0x00,0x00,1,0,x,y,69167
11862,01 62,\x01b,0x0210,0x00,0x00,0,0,x,y,69216
11864,01 63,\x01c,0x0211,0x00,0x00,0,0,x,y,69265
11866,01 64,\x01d,0x0212,0x00,0x00,0,0,x,y,69314
11868,01 65,\x01e,0x0213,0x00,0x00,0,0,x,y,69363
11870,01 66,\x01f,0x0214,0x00,0x00,1,0,x,y,69412
11872,01 67,\x01g,0x0215,0x00,0x00,1,0,x,y,69461
11874,01 68,\x01h,0x0216,0x00,0x00,0,0,x,y,69510
11876,01 69,\x01i,0x0217,0x00,0x00,0,0,x,y,69559
11878,01 6a,\x01j,0x0218,0x00,0x00,0,0,x,y,69608
11880,01 6b,\x01k,0x0219,0x00,0x00,0,0,x,y,69657
11882,01 6c,\x01l,0x01FC,0x00,0x00,1,0,x,y,69713
11882,01 6c,\x01l,word_681a,0x00,0x00,0,0,x,y,69746
11884,01 6d,\x01m,word_681a,0x00,0x0299,0,0,x,y,69796
11886,01 6e,\x01n,word_681a,0x00,0x029A,0,0,x,y,69846
11888,01 6f,\x01o,word_681a,0x029F,0x00,0,1,x,y,69896
11890,01 70,\x01p,word_681a,0x02A0,0x00,0,1,x,y,69946
11892,01 71,\x01q,word_681a,0x02A1,0x00,0,1,x,y,69996
11894,01 72,\x01r,word_681a,0x02A2,0x00,0,1,x,y,70046
11896,01 73,\x01s,0x02AB,0x00,0x00,0,0,x,y,70095
11898,01 74,\x01t,word_681a,0x00,0x02AC,0,0,x,y,70145
11900,01 75,\x01u,word_681a,0x00,0x02AD,0,0,x,y,70195
11902,01 76,\x01v,word_681a,0x00,0x02AE,0,0,x,y,70245
11904,01 78,\x01x,word_681a,0x00,0x02B0,0,0,x,y,70295
11906,01 79,\x01y,word_681a,0x00,0x02B1,0,0,x,y,70345
11908,01 7a,\x01z,0x02B2,0x00,0x00,0,0,x,y,70394
11910,01 77,\x01w,word_681a,0x00,0x02AF,0,0,x,y,70444
11910,01 77,\x01w,0x02,0x00,0xB3,1,0,x-1,y,70496
11910,01 77,\x01w,0x02,0x00,0xB7,0,0,x,y,70528
